policy_number,producer_id,office,lob,expected_commission,effective_date
POL-000001,PRD-012,OFF-01,Benefits,298.24,2025-07-04
POL-000002,PRD-002,OFF-02,Benefits,119.33,2025-06-14
POL-000003,PRD-018,OFF-03,WC,2191.42,2025-04-02
POL-000004,PRD-006,OFF-02,Benefits,2034.45,2025-04-21
POL-000005,PRD-022,OFF-07,WC,98.65,2025-04-17
POL-000006,PRD-008,OFF-02,WC,1422.60,2025-06-04
POL-000007,PRD-017,OFF-07,Benefits,1619.62,2025-07-31
POL-000008,PRD-019,OFF-06,WC,218.70,2025-05-17
POL-000009,PRD-009,OFF-08,P&C,1047.73,2025-05-13
POL-000010,PRD-022,OFF-06,P&C,4666.74,2025-02-25
POL-000011,PRD-005,OFF-04,Cyber,166.04,2025-10-28
POL-000012,PRD-014,OFF-05,Cyber,1590.40,2025-12-12
POL-000013,PRD-008,OFF-01,Cyber,164.15,2025-09-26
POL-000014,PRD-020,OFF-06,Benefits,57.79,2025-09-10
POL-000015,PRD-013,OFF-07,P&C,1760.57,2025-02-21
POL-000016,PRD-004,OFF-06,P&C,159.56,2025-12-22
POL-000017,PRD-001,OFF-02,Benefits,2867.20,2025-04-07
POL-000018,PRD-016,OFF-02,P&C,677.27,2025-11-07
POL-000019,PRD-011,OFF-05,Cyber,532.25,2025-05-22
POL-000020,PRD-017,OFF-05,P&C,3663.96,2026-01-11
POL-000021,PRD-017,OFF-06,Benefits,732.95,2025-07-19
POL-000022,PRD-016,OFF-06,P&C,1503.19,2025-09-22
POL-000023,PRD-015,OFF-06,WC,769.00,2025-05-26
POL-000024,PRD-020,OFF-01,Cyber,1205.88,2025-12-01
POL-000025,PRD-006,OFF-07,WC,4119.05,2025-02-18
POL-000026,PRD-006,OFF-03,P&C,1033.09,2025-05-30
POL-000027,PRD-022,OFF-06,Benefits,754.31,2025-05-29
POL-000028,PRD-004,OFF-03,Cyber,161.15,2025-11-16
POL-000029,PRD-011,OFF-05,Cyber,733.65,2026-01-08
POL-000030,PRD-017,OFF-03,Benefits,3117.45,2025-07-25
POL-000031,PRD-006,OFF-03,Cyber,2916.33,2026-01-13
POL-000032,PRD-016,OFF-02,P&C,1122.30,2025-04-13
POL-000033,PRD-001,OFF-02,Cyber,2548.62,2025-09-03
POL-000034,PRD-017,OFF-08,Benefits,2140.85,2025-05-09
POL-000035,PRD-015,OFF-06,P&C,1362.51,2025-04-11
POL-000036,PRD-023,OFF-06,Benefits,3055.12,2025-12-16
POL-000037,PRD-006,OFF-04,Benefits,1068.72,2025-05-28
POL-000038,PRD-024,OFF-06,P&C,1121.45,2025-06-30
POL-000039,PRD-020,OFF-05,P&C,1932.25,2025-06-02
POL-000040,PRD-014,OFF-05,Cyber,326.72,2025-11-30
POL-000041,PRD-002,OFF-03,Cyber,1242.53,2025-05-04
POL-000042,PRD-008,OFF-02,WC,224.09,2026-01-14
POL-000043,PRD-020,OFF-03,P&C,2863.78,2026-01-17
POL-000044,PRD-021,OFF-05,Benefits,496.82,2025-11-27
POL-000045,PRD-001,OFF-01,Benefits,489.38,2025-05-11
POL-000046,PRD-022,OFF-08,Cyber,564.94,2025-09-19
POL-000047,PRD-024,OFF-03,Cyber,2498.25,2025-02-04
POL-000048,PRD-014,OFF-03,P&C,370.95,2025-11-17
POL-000049,PRD-010,OFF-01,Cyber,3588.82,2025-05-08
POL-000050,PRD-002,OFF-05,Benefits,37.50,2025-09-07
POL-000051,PRD-021,OFF-04,Benefits,1227.77,2026-01-22
POL-000052,PRD-002,OFF-07,P&C,1350.82,2025-12-07
POL-000053,PRD-022,OFF-07,WC,526.32,2025-03-06
POL-000054,PRD-017,OFF-07,Benefits,776.80,2025-08-30
POL-000055,PRD-003,OFF-01,P&C,3008.52,2025-04-06
POL-000056,PRD-001,OFF-04,Cyber,2945.78,2025-11-30
POL-000057,PRD-003,OFF-02,Cyber,2455.01,2025-06-03
POL-000058,PRD-021,OFF-08,Cyber,1411.19,2025-09-09
POL-000059,PRD-021,OFF-04,P&C,361.56,2025-05-22
POL-000060,PRD-016,OFF-01,Cyber,1605.75,2025-08-06
POL-000061,PRD-010,OFF-08,Cyber,1572.09,2025-02-02
POL-000062,PRD-001,OFF-05,Cyber,447.36,2025-04-16
POL-000063,PRD-003,OFF-02,Benefits,2032.68,2025-06-06
POL-000064,PRD-004,OFF-06,Benefits,2342.82,2025-07-22
POL-000065,PRD-013,OFF-05,Benefits,910.01,2025-07-05
POL-000066,PRD-011,OFF-07,P&C,336.22,2025-07-14
POL-000067,PRD-003,OFF-06,Cyber,1058.13,2025-08-27
POL-000068,PRD-005,OFF-04,WC,265.76,2025-09-01
POL-000069,PRD-001,OFF-07,Benefits,3521.40,2025-08-14
POL-000070,PRD-002,OFF-03,Benefits,1008.36,2025-06-26
POL-000071,PRD-009,OFF-07,Benefits,1336.66,2025-07-31
POL-000072,PRD-003,OFF-04,Cyber,708.31,2025-04-12
POL-000073,PRD-018,OFF-04,Benefits,3014.33,2025-06-05
POL-000074,PRD-019,OFF-04,P&C,219.31,2025-07-31
POL-000075,PRD-009,OFF-06,Benefits,493.40,2025-06-25
POL-000076,PRD-013,OFF-08,Cyber,539.39,2025-03-06
POL-000077,PRD-019,OFF-08,P&C,1927.25,2025-11-18
POL-000078,PRD-008,OFF-03,Benefits,2060.24,2025-04-27
POL-000079,PRD-018,OFF-01,P&C,4267.74,2025-01-29
POL-000080,PRD-021,OFF-07,P&C,1541.35,2025-04-06
POL-000081,PRD-008,OFF-01,P&C,1759.18,2025-08-22
POL-000082,PRD-016,OFF-04,Benefits,3742.99,2025-06-01
POL-000083,PRD-022,OFF-07,P&C,349.70,2025-01-27
POL-000084,PRD-023,OFF-06,Cyber,1871.74,2025-02-15
POL-000085,PRD-007,OFF-08,Benefits,3462.21,2025-10-13
POL-000086,PRD-004,OFF-08,Benefits,1034.33,2025-09-26
POL-000087,PRD-002,OFF-04,P&C,262.93,2025-06-23
POL-000088,PRD-023,OFF-06,P&C,1306.44,2025-06-24
POL-000089,PRD-015,OFF-01,WC,1034.71,2025-08-07
POL-000090,PRD-012,OFF-07,P&C,184.91,2025-08-06
POL-000091,PRD-003,OFF-01,Cyber,1845.45,2025-07-12
POL-000092,PRD-001,OFF-07,Benefits,543.49,2025-04-20
POL-000093,PRD-009,OFF-04,P&C,2181.18,2025-07-14
POL-000094,PRD-009,OFF-06,WC,1828.95,2025-07-21
POL-000095,PRD-016,OFF-08,Cyber,1225.86,2025-03-24
POL-000096,PRD-010,OFF-03,Benefits,1694.23,2025-05-15
POL-000097,PRD-007,OFF-07,Benefits,2897.80,2025-06-01
POL-000098,PRD-006,OFF-07,P&C,171.97,2025-12-20
POL-000099,PRD-015,OFF-03,Benefits,639.77,2025-03-09
POL-000100,PRD-010,OFF-05,WC,1837.08,2025-06-01
POL-000101,PRD-006,OFF-04,Benefits,1407.59,2025-07-16
POL-000102,PRD-017,OFF-04,P&C,937.96,2025-04-01
POL-000103,PRD-012,OFF-01,WC,2264.10,2025-12-01
POL-000104,PRD-003,OFF-06,Benefits,2867.94,2025-12-28
POL-000105,PRD-002,OFF-06,WC,1040.58,2025-09-11
POL-000106,PRD-001,OFF-06,Cyber,230.32,2025-10-10
POL-000107,PRD-018,OFF-08,P&C,105.81,2025-03-11
POL-000108,PRD-021,OFF-03,Cyber,2160.41,2025-07-04
POL-000109,PRD-024,OFF-06,Cyber,1685.58,2025-08-30
POL-000110,PRD-014,OFF-03,Cyber,898.19,2025-07-20
POL-000111,PRD-005,OFF-01,P&C,2719.67,2025-06-29
POL-000112,PRD-024,OFF-03,Benefits,393.69,2025-02-28
POL-000113,PRD-016,OFF-04,WC,240.91,2025-11-01
POL-000114,PRD-003,OFF-03,Benefits,354.10,2025-05-20
POL-000115,PRD-013,OFF-03,Cyber,1516.88,2025-03-14
POL-000116,PRD-002,OFF-01,WC,4535.73,2025-11-07
POL-000117,PRD-021,OFF-07,WC,2129.64,2025-03-22
POL-000118,PRD-006,OFF-01,P&C,1999.91,2025-06-19
POL-000119,PRD-006,OFF-08,Cyber,1724.07,2025-05-29
POL-000120,PRD-002,OFF-01,Benefits,532.42,2025-11-18
POL-000121,PRD-021,OFF-03,P&C,226.77,2025-05-06
POL-000122,PRD-010,OFF-03,Benefits,1119.36,2025-02-02
POL-000123,PRD-015,OFF-03,WC,867.06,2025-03-16
POL-000124,PRD-012,OFF-01,Benefits,900.07,2025-10-08
POL-000125,PRD-009,OFF-02,P&C,3804.58,2025-11-01
POL-000126,PRD-009,OFF-07,WC,2917.04,2025-04-13
POL-000127,PRD-015,OFF-04,Benefits,397.84,2025-07-18
POL-000128,PRD-022,OFF-06,P&C,1029.59,2025-08-24
POL-000129,PRD-012,OFF-01,Benefits,1832.39,2025-11-07
POL-000130,PRD-004,OFF-06,Benefits,75.75,2025-03-15
POL-000131,PRD-006,OFF-03,P&C,390.82,2025-08-21
POL-000132,PRD-009,OFF-07,WC,129.86,2025-06-06
POL-000133,PRD-015,OFF-08,Benefits,3288.02,2025-02-26
POL-000134,PRD-006,OFF-01,P&C,1523.79,2025-12-31
POL-000135,PRD-017,OFF-07,Benefits,1430.00,2025-04-15
POL-000136,PRD-016,OFF-01,Cyber,3458.83,2025-12-21
POL-000137,PRD-009,OFF-04,P&C,930.23,2025-12-12
POL-000138,PRD-022,OFF-07,WC,1573.67,2025-02-01
POL-000139,PRD-024,OFF-04,Benefits,67.29,2025-12-10
POL-000140,PRD-017,OFF-01,P&C,1363.22,2025-07-07
POL-000141,PRD-003,OFF-03,Benefits,2189.12,2025-04-05
POL-000142,PRD-023,OFF-01,P&C,1085.31,2025-11-26
POL-000143,PRD-002,OFF-02,WC,2646.29,2025-02-02
POL-000144,PRD-013,OFF-02,Benefits,3880.07,2025-02-16
POL-000145,PRD-021,OFF-05,Cyber,240.14,2025-11-26
POL-000146,PRD-009,OFF-01,WC,530.38,2025-12-03
POL-000147,PRD-017,OFF-08,WC,3892.17,2025-12-29
POL-000148,PRD-016,OFF-01,Benefits,1995.07,2025-06-25
POL-000149,PRD-002,OFF-01,WC,1493.69,2025-08-28
POL-000150,PRD-017,OFF-05,Benefits,1088.03,2025-05-16
POL-000151,PRD-003,OFF-08,P&C,756.81,2025-01-29
POL-000152,PRD-003,OFF-07,P&C,4660.59,2025-12-05
POL-000153,PRD-013,OFF-04,Cyber,1509.35,2025-08-20
POL-000154,PRD-019,OFF-06,Benefits,2958.39,2025-03-24
POL-000155,PRD-011,OFF-08,Benefits,1280.11,2025-08-10
POL-000156,PRD-005,OFF-03,Benefits,3580.38,2025-09-08
POL-000157,PRD-009,OFF-02,Benefits,431.75,2025-04-30
POL-000158,PRD-010,OFF-07,WC,4504.18,2025-07-10
POL-000159,PRD-002,OFF-01,Cyber,1456.77,2025-03-02
POL-000160,PRD-001,OFF-04,Cyber,343.75,2025-05-11
POL-000161,PRD-021,OFF-04,Benefits,3398.52,2025-02-25
POL-000162,PRD-008,OFF-07,Benefits,1128.15,2025-06-15
POL-000163,PRD-022,OFF-03,WC,171.89,2025-05-20
POL-000164,PRD-023,OFF-04,WC,184.44,2025-05-17
POL-000165,PRD-011,OFF-07,Cyber,683.76,2025-06-03
POL-000166,PRD-012,OFF-01,WC,1188.67,2025-07-06
POL-000167,PRD-021,OFF-06,WC,83.90,2025-07-02
POL-000168,PRD-013,OFF-08,Benefits,3172.54,2025-08-20
POL-000169,PRD-008,OFF-03,WC,801.63,2025-12-18
POL-000170,PRD-009,OFF-07,WC,2954.56,2025-08-25
POL-000171,PRD-008,OFF-05,WC,3715.37,2025-05-21
POL-000172,PRD-005,OFF-05,Cyber,2551.00,2025-06-17
POL-000173,PRD-021,OFF-01,P&C,1285.04,2025-04-08
POL-000174,PRD-008,OFF-03,Cyber,381.72,2025-02-21
POL-000175,PRD-003,OFF-05,Benefits,1652.56,2025-10-08
POL-000176,PRD-018,OFF-02,WC,2218.46,2025-04-26
POL-000177,PRD-005,OFF-08,Benefits,633.02,2025-11-12
POL-000178,PRD-015,OFF-08,WC,890.79,2025-04-21
POL-000179,PRD-021,OFF-06,P&C,4041.56,2025-06-18
POL-000180,PRD-005,OFF-01,Benefits,3415.06,2025-12-30
POL-000181,PRD-017,OFF-04,WC,2287.37,2025-08-02
POL-000182,PRD-012,OFF-08,Cyber,2648.84,2025-06-20
POL-000183,PRD-004,OFF-06,Benefits,680.70,2025-09-05
POL-000184,PRD-013,OFF-07,P&C,1356.71,2025-11-18
POL-000185,PRD-002,OFF-07,Benefits,300.18,2025-11-28
POL-000186,PRD-004,OFF-03,P&C,2057.64,2025-10-06
POL-000187,PRD-018,OFF-05,WC,1781.81,2025-02-21
POL-000188,PRD-002,OFF-08,P&C,127.98,2026-01-05
POL-000189,PRD-022,OFF-07,Benefits,2768.19,2025-04-03
POL-000190,PRD-014,OFF-01,P&C,304.98,2025-04-17
POL-000191,PRD-019,OFF-04,Cyber,154.34,2025-10-03
POL-000192,PRD-010,OFF-08,Cyber,1155.66,2025-07-19
POL-000193,PRD-020,OFF-02,Cyber,376.02,2026-01-06
POL-000194,PRD-002,OFF-06,WC,4559.11,2025-03-21
POL-000195,PRD-021,OFF-07,Cyber,961.71,2025-05-27
POL-000196,PRD-021,OFF-06,P&C,778.52,2025-09-05
POL-000197,PRD-013,OFF-07,Benefits,2187.02,2025-08-17
POL-000198,PRD-019,OFF-01,WC,733.27,2025-02-04
POL-000199,PRD-022,OFF-08,WC,4476.48,2025-11-08
POL-000200,PRD-010,OFF-01,Cyber,1339.90,2025-04-21
POL-000201,PRD-018,OFF-02,WC,3445.21,2025-09-14
POL-000202,PRD-011,OFF-08,Benefits,1146.19,2025-07-03
POL-000203,PRD-019,OFF-06,Cyber,805.21,2025-10-16
POL-000204,PRD-012,OFF-08,P&C,2974.55,2025-09-18
POL-000205,PRD-002,OFF-04,Cyber,1186.18,2025-03-23
POL-000206,PRD-015,OFF-03,WC,2093.58,2025-10-05
POL-000207,PRD-018,OFF-06,Cyber,436.22,2025-10-12
POL-000208,PRD-009,OFF-06,Benefits,626.69,2025-03-22
POL-000209,PRD-024,OFF-04,Benefits,785.77,2025-07-05
POL-000210,PRD-023,OFF-08,P&C,4585.37,2025-07-26
POL-000211,PRD-019,OFF-08,P&C,3804.66,2025-08-13
POL-000212,PRD-006,OFF-08,Benefits,1074.45,2025-07-16
POL-000213,PRD-008,OFF-02,WC,4199.60,2025-05-28
POL-000214,PRD-011,OFF-06,Benefits,3233.51,2025-12-04
POL-000215,PRD-023,OFF-08,Benefits,312.56,2025-03-07
POL-000216,PRD-019,OFF-05,WC,716.28,2025-09-08
POL-000217,PRD-005,OFF-01,Benefits,1666.03,2025-05-16
POL-000218,PRD-014,OFF-05,Benefits,514.34,2025-08-29
POL-000219,PRD-010,OFF-03,P&C,735.17,2025-07-07
POL-000220,PRD-012,OFF-07,P&C,155.23,2025-08-01
POL-000221,PRD-008,OFF-03,Benefits,929.28,2025-09-03
POL-000222,PRD-007,OFF-03,Benefits,3253.62,2025-12-09
POL-000223,PRD-024,OFF-01,WC,346.54,2025-10-11
POL-000224,PRD-005,OFF-05,Benefits,298.17,2025-03-01
POL-000225,PRD-012,OFF-08,P&C,472.29,2025-07-19
POL-000226,PRD-002,OFF-05,P&C,3840.04,2025-09-19
POL-000227,PRD-008,OFF-02,Benefits,1838.96,2025-05-05
POL-000228,PRD-001,OFF-02,Benefits,1129.94,2025-10-29
POL-000229,PRD-015,OFF-02,WC,1955.73,2025-03-22
POL-000230,PRD-004,OFF-02,Cyber,441.56,2025-12-30
POL-000231,PRD-015,OFF-07,Benefits,1435.25,2025-03-25
POL-000232,PRD-013,OFF-01,WC,2240.48,2025-02-01
POL-000233,PRD-011,OFF-07,P&C,3451.79,2025-09-21
POL-000234,PRD-022,OFF-01,WC,1984.68,2025-11-08
POL-000235,PRD-008,OFF-03,Cyber,637.99,2025-10-19
POL-000236,PRD-002,OFF-05,WC,4045.09,2025-03-04
POL-000237,PRD-008,OFF-01,WC,877.35,2025-03-10
POL-000238,PRD-009,OFF-02,Cyber,229.26,2025-07-29
POL-000239,PRD-014,OFF-05,WC,219.48,2025-11-08
POL-000240,PRD-021,OFF-07,Benefits,3154.28,2025-04-18
POL-000241,PRD-001,OFF-04,WC,991.86,2025-06-01
POL-000242,PRD-012,OFF-03,Benefits,1428.93,2025-05-05
POL-000243,PRD-010,OFF-01,P&C,1394.72,2025-08-09
POL-000244,PRD-017,OFF-07,Cyber,2602.48,2025-12-19
POL-000245,PRD-011,OFF-06,Benefits,4006.86,2025-05-01
POL-000246,PRD-024,OFF-08,WC,2744.07,2025-03-16
POL-000247,PRD-016,OFF-07,Benefits,1458.88,2025-12-01
POL-000248,PRD-015,OFF-05,WC,605.28,2025-03-10
POL-000249,PRD-001,OFF-08,Cyber,1535.68,2025-07-06
POL-000250,PRD-019,OFF-04,P&C,520.80,2025-10-20
POL-000251,PRD-001,OFF-01,P&C,1841.51,2025-03-17
POL-000252,PRD-020,OFF-07,Cyber,4129.32,2025-05-13
POL-000253,PRD-022,OFF-02,Benefits,1551.10,2025-07-23
POL-000254,PRD-005,OFF-04,Cyber,1447.36,2025-07-15
POL-000255,PRD-003,OFF-03,WC,3355.70,2025-06-11
POL-000256,PRD-023,OFF-06,Cyber,779.18,2025-12-15
POL-000257,PRD-006,OFF-01,P&C,1106.57,2025-08-27
POL-000258,PRD-001,OFF-05,P&C,2991.25,2025-03-05
POL-000259,PRD-016,OFF-05,Benefits,35.34,2025-12-03
POL-000260,PRD-001,OFF-02,P&C,231.19,2025-06-26
POL-000261,PRD-021,OFF-01,WC,2866.69,2025-05-16
POL-000262,PRD-019,OFF-02,WC,401.90,2025-07-25
POL-000263,PRD-019,OFF-01,Cyber,70.13,2025-03-09
POL-000264,PRD-006,OFF-06,P&C,404.14,2025-09-22
POL-000265,PRD-022,OFF-07,Benefits,1317.24,2025-06-22
POL-000266,PRD-003,OFF-03,Benefits,2250.08,2025-07-02
POL-000267,PRD-012,OFF-02,WC,2243.53,2025-10-19
POL-000268,PRD-012,OFF-04,Cyber,3498.13,2025-08-04
POL-000269,PRD-001,OFF-06,Benefits,288.56,2025-08-30
POL-000270,PRD-008,OFF-03,WC,1084.65,2025-12-06
POL-000271,PRD-016,OFF-04,Benefits,2295.46,2025-06-29
POL-000272,PRD-018,OFF-04,Cyber,3284.09,2025-09-11
POL-000273,PRD-003,OFF-05,Cyber,1357.60,2025-10-06
POL-000274,PRD-006,OFF-04,WC,129.14,2025-11-09
POL-000275,PRD-003,OFF-05,P&C,4231.39,2025-12-19
POL-000276,PRD-021,OFF-03,WC,1062.96,2025-11-19
POL-000277,PRD-001,OFF-08,Benefits,3298.12,2025-07-19
POL-000278,PRD-024,OFF-04,P&C,295.74,2025-03-07
POL-000279,PRD-013,OFF-01,WC,1937.95,2025-03-17
POL-000280,PRD-001,OFF-02,WC,1259.08,2025-09-28
POL-000281,PRD-002,OFF-06,Benefits,131.44,2025-03-18
POL-000282,PRD-008,OFF-05,P&C,4107.80,2025-06-23
POL-000283,PRD-021,OFF-08,P&C,3011.73,2025-06-10
POL-000284,PRD-007,OFF-01,WC,3822.39,2025-02-12
POL-000285,PRD-012,OFF-06,Cyber,538.96,2025-10-31
POL-000286,PRD-022,OFF-08,Benefits,617.28,2025-03-03
POL-000287,PRD-023,OFF-05,Benefits,2365.46,2025-05-04
POL-000288,PRD-014,OFF-03,Benefits,1607.32,2025-04-09
POL-000289,PRD-016,OFF-04,P&C,296.15,2025-06-29
POL-000290,PRD-011,OFF-08,Cyber,298.35,2025-08-20
POL-000291,PRD-016,OFF-02,WC,680.42,2025-08-27
POL-000292,PRD-018,OFF-06,P&C,1468.34,2025-11-28
POL-000293,PRD-023,OFF-05,Benefits,3300.70,2025-02-27
POL-000294,PRD-012,OFF-03,Benefits,3717.59,2026-01-08
POL-000295,PRD-012,OFF-03,WC,1523.30,2025-03-13
POL-000296,PRD-013,OFF-01,Benefits,560.52,2025-12-24
POL-000297,PRD-003,OFF-03,Benefits,3695.86,2025-05-12
POL-000298,PRD-015,OFF-08,Benefits,1361.79,2025-06-10
POL-000299,PRD-014,OFF-03,WC,4089.48,2026-01-21
POL-000300,PRD-022,OFF-03,Benefits,1086.51,2025-05-04
POL-000301,PRD-007,OFF-08,P&C,3260.41,2026-01-20
POL-000302,PRD-005,OFF-07,P&C,1490.25,2025-05-03
POL-000303,PRD-016,OFF-03,WC,1100.60,2025-03-17
POL-000304,PRD-015,OFF-02,Benefits,1702.08,2025-03-04
POL-000305,PRD-009,OFF-02,Benefits,2000.96,2025-04-13
POL-000306,PRD-004,OFF-04,WC,1114.36,2025-04-17
POL-000307,PRD-024,OFF-02,Cyber,854.69,2025-04-14
POL-000308,PRD-021,OFF-02,Cyber,2351.34,2025-11-15
POL-000309,PRD-012,OFF-01,Cyber,2557.93,2025-10-27
POL-000310,PRD-010,OFF-02,Benefits,113.64,2025-07-16
POL-000311,PRD-006,OFF-06,WC,2923.15,2025-03-10
POL-000312,PRD-024,OFF-08,P&C,1653.85,2025-11-21
POL-000313,PRD-002,OFF-04,WC,2565.40,2025-12-02
POL-000314,PRD-004,OFF-01,Cyber,201.31,2025-02-01
POL-000315,PRD-005,OFF-05,WC,850.33,2025-09-12
POL-000316,PRD-002,OFF-01,P&C,3174.94,2026-01-10
POL-000317,PRD-023,OFF-08,Cyber,2906.50,2025-02-26
POL-000318,PRD-005,OFF-01,Benefits,1253.46,2025-05-03
POL-000319,PRD-011,OFF-01,WC,1602.83,2025-05-28
POL-000320,PRD-021,OFF-03,Benefits,110.99,2025-08-05
